67 16
1011a 1100a 1011a 1010a 1010a 1000a 1100a 1001a 1000a 1010a 1100a 1011a 1000a 1000a 1010a 1110a 
1101a 0011a 1100a 1001a 1100a 0101a 0101a 0111a 0011a 1100a 0101a 1001a 0110a 0101a 1001a 1100a 
0001a 1110a 0101a 0101a 0011a 0110a 0011a 1100a 1001a 0110a 0101a 0011a 1100a 0111a 0101a 0101a 
0001a 1100a 0101a 0001a 1010a 1100a 1101a 0011a 0110a 1101a 0011a 1100a 0011a 1010a 0100a 0101a 
0111a 0101a 0101a 0111a 1001a 0110a 0001a 1110a 1001a 0010a 1100a 0011a 1010a 1100a 0101a 0101a 
1001a 0100a 0011a 1010a 0110a 1101a 0001a 1010a 0010a 1110a 0101a 1001a 1100a 0101a 0111a 0101a 
0101a 0011a 1010a 1010a 1010a 0110a 0001a 1110a 1001a 1100a 0101a 0101a 0011a 0110a 1001a 0100a 
0001a 1010a 1010a 1010a 1010a 1010a 0110a 1001a 0110a 0001a 0110a 0011a 1100a 1001a 0100a 0111a 
0101a 1001a 1000a 1010a 1100a 1001a 1100a 0101a 1101a 0101a 1001a 1010a 0110a 0101a 0011a 1100a 
0101a 0101a 0101a 1101a 0101a 0101a 0011a 0110a 0101a 0101a 0011a 1100a 1101a 0001a 1110a 0101a 
0101a 0111a 0101a 0011a 0110a 0101a 1011a 1010a 0010a 0110a 1001a 0110a 0001a 0110a 1001a 0110a 
0011a 1100a 0101a 1001a 1010a 0100a 1001a 1010a 1010a 1010a 0110a 1101a 0011a 1100a 0011a 1100a 
1011a 0010a 0110a 0011a 1100a 0101a 0011a 1100a 1001a 1010a 1110a 0001a 1010a 0010a 1110a 0101a 
1001a 1100a 1001a 1010a 0110a 0001a 1110a 0101a 0001a 1100a 1001a 0110a 1001a 1010a 1100a 0101a 
0101a 0101a 0101a 1101a 1001a 0110a 1001a 0110a 0101a 0011a 0010a 1110a 0101a 1101a 0101a 0101a 
0101a 0101a 0101a 0001a 0110a 1001a 0110a 1101a 0011a 1100a 1001a 1100a 0101a 0101a 0101a 0101a 
0101a 0001a 0110a 0011a 1100a 0011a 1100a 0011a 1010a 0110a 0101a 0011a 0110a 0001a 0110a 0101a 
0101a 0111a 1001a 1100a 0011a 1110a 0011a 1010a 1010a 1010a 0110a 1001a 1110a 0011a 1100a 0101a 
0101a 1001a 0110a 0011a 1010a 1010a 1000a 1010a 1100a 1101a 1001a 0100a 1001a 1100a 0101a 0101a 
0001a 0110a 1001a 1100a 1001a 1010a 0110a 1101a 0101a 0101a 0101a 0011a 0110a 0011a 0110a 0101a 
0101a 1011a 0100a 0101a 0011a 1100a 1001a 0110a 0101a 0101a 0101a 1001a 1010a 1010a 1010a 0100a 
0001a 1010a 0110a 0111a 1001a 0110a 0011a 1010a 0010a 0110a 0101a 0011a 1000a 1110a 1001a 0100a 
0111a 1001a 1010a 1000a 0110a 1001a 1100a 1001a 1100a 1001a 0110a 1101a 0101a 1001a 0110a 0101a 
1001a 0110a 1011a 0110a 1001a 0110a 0011a 0110a 0101a 0101a 1011a 0100a 0101a 0101a 1011a 0100a 
0101a 1001a 1010a 1010a 0010a 1010a 1110a 1001a 0110a 0011a 1100a 0001a 0110a 0011a 1100a 0101a 
0001a 0110a 1101a 1001a 1010a 1010a 1010a 0100a 1001a 1010a 0110a 0011a 1010a 1100a 0101a 0111a 
0011a 1010a 0100a 0011a 1100a 1001a 1010a 0110a 0011a 1010a 1010a 1010a 1100a 0111a 0011a 1100a 
1001a 1110a 0011a 1100a 0101a 0111a 1001a 1100a 1001a 1000a 1100a 1001a 0110a 1001a 1010a 0110a 
0101a 1001a 1100a 0101a 0011a 1010a 0110a 0011a 0110a 0101a 0111a 0011a 1100a 0101a 1001a 1100a 
0001a 0110a 0011a 0110a 1001a 1010a 1000a 1010a 1010a 0110a 1001a 1010a 0110a 0011a 0110a 0101a 
0011a 1010a 1110a 1001a 0110a 1001a 0110a 1001a 1100a 1001a 0110a 1001a 1000a 1010a 1100a 0101a 
1001a 1010a 1100a 0011a 1100a 0111a 1001a 0110a 0011a 0110a 1001a 0110a 0011a 1100a 0011a 0100a 
0101a 1101a 0011a 1100a 0101a 1001a 0110a 1001a 1100a 1001a 0110a 1011a 1100a 0101a 1001a 0110a 
0101a 0001a 1100a 0101a 0101a 0101a 1101a 0101a 0011a 0010a 1100a 1001a 0110a 0101a 0011a 1100a 
0101a 0111a 0011a 0010a 0110a 0101a 0001a 0110a 1001a 1100a 0011a 0100a 1001a 0110a 1101a 0101a 
0011a 1100a 1001a 1010a 1010a 0110a 0111a 1001a 0110a 0011a 1100a 0111a 0101a 1001a 0010a 0110a 
1001a 0100a 0101a 1001a 1010a 1010a 1010a 0110a 1001a 1100a 0011a 1100a 0101a 0011a 1100a 1101a 
0101a 0111a 0101a 0101a 1011a 1100a 1001a 1000a 0110a 0011a 1100a 0101a 0011a 1100a 0101a 0101a 
0001a 1100a 0011a 0110a 1001a 0110a 0101a 0101a 1001a 1100a 0101a 0101a 1001a 0110a 0101a 0101a 
0101a 0011a 1100a 1001a 0010a 1010a 0110a 0101a 0101a 0011a 0110a 0101a 0011a 1100a 0011a 0100a 
0101a 1001a 0110a 0011a 1100a 1001a 1110a 0101a 0011a 1100a 1001a 0110a 1001a 0110a 1011a 0100a 
0111a 0101a 1001a 1010a 0110a 0011a 1100a 0011a 1100a 0111a 0011a 1100a 0001a 1010a 1100a 0111a 
1001a 0110a 0011a 1010a 1010a 1100a 0001a 1110a 0101a 1001a 1100a 0101a 0101a 1101a 0011a 1100a 
0011a 1000a 1010a 1010a 1100a 0011a 0100a 1001a 0110a 0101a 0011a 0110a 0011a 0100a 1101a 0101a 
1001a 0110a 1011a 1000a 0010a 1110a 0101a 0011a 1010a 0110a 1101a 1001a 1010a 0110a 0101a 0101a 
0001a 1010a 1100a 0111a 1001a 1010a 0110a 1001a 1010a 1010a 0010a 0110a 1001a 1100a 0101a 0101a 
0111a 1001a 0110a 1001a 0110a 1101a 1001a 0010a 1010a 1010a 1010a 1100a 0101a 0001a 0110a 0101a 
1001a 0110a 1001a 0110a 1001a 0100a 0101a 1001a 1010a 1100a 1011a 0010a 0110a 0111a 1001a 0100a 
0001a 1100a 0011a 1100a 0101a 0111a 0101a 0101a 1011a 0010a 1100a 1001a 1010a 1100a 0101a 0111a 
0101a 0011a 1010a 0110a 0011a 1010a 0110a 0011a 1100a 1011a 0010a 0110a 1011a 0100a 0011a 1100a 
0011a 1010a 1100a 1001a 1010a 1010a 1010a 1100a 0001a 1010a 1010a 1010a 1100a 0011a 1010a 0110a 
